ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 965 mechanic + assembled 925 the = engine x1 and 647 the + envoy 453 saluted = the x2 higher-ups 922 but + the 105 scoundrel = encountered x3 the 160 clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 425 tailor + bent 659 the = wire x5 and 751 the + entertainer 319 quoted = the x6 residents 325 when + the 383 forester = insulted x7 the 732 messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 307 child + bit 217 the = apple x9 and 601 the + zealot 326 humiliated = the x10 bassist 688 because + the 761 diva = misinformed x11 the 418 newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 664 chef + blended 747 the = ingredients x13 and 988 the + officer 960 aggravated = the x14 foreman 885 after + the 669 screenwriter = fascinated x15 the 538 encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 773 sculptor + carved 690 the = statue x17 but 916 the + umpire 442 chastised = the x18 salesman 514 and + the 419 flora = exposed x19 the 955 athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 996 chef + chopped 869 the = vegetables x21 but 141 the + commuter 230 choked = the x22 delinquent 878 when + the 132 innovator = delighted x23 the 288 residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 154 cleaner + cleaned 232 the = floor x25 but 290 the + organist 908 spooked = the x26 columnist 556 because + the 199 impostor = defended x27 the 911 kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 347 collector + collected 176 the = stamps x29 but 861 the + churchgoer 852 betraied = the x30 skater 467 after + the 623 baroness = dismissed x31 the 863 neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 251 butcher + cut 398 the = meat x33 when 773 the + shepherd 169 teased = the x34 patrolman 365 and + the 742 illustrator = affronted x35 the 430 roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 115 writer + described 426 the = landscape x37 when 856 the + toolmaker 369 singed = the x38 webmaster 928 but + the 408 dean = screamed x39 the 574 chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,The 834 crew + destroyed 882 the = building x41 when 634 the + monk 301 applauded = the x42 executive 239 because + the 914 consultant = derided x43 the 682 waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,The 310 architect + designed 236 the = house x45 when 577 the + bassist 687 scared = the x46 taxpayer 992 after + the 559 shopper = assuaged x47 the 548 bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
7693,The student pushed the cart because the yodeler targeted the flutist and the neighbor distressed the arbitrator.,The 390 student + pushed 525 the = cart x49 because 923 the + yodeler 771 targeted = the x50 flutist 965 and + the 954 neighbor = distressed x51 the 102 arbitrator.,Did the student push the cart?,Yes,first,three,Transitive,plausible
7694,The artist drew the portrait because the warlord disparaged the webmaster but the entomologist targeted the usher.,The 442 artist + drew 717 the = portrait x53 because 507 the + warlord 851 disparaged = the x54 webmaster 553 but + the 456 entomologist = targeted x55 the 318 usher.,Did the artist draw the portrait?,Yes,first,three,Transitive,plausible
7695,The teacher memorized the concept because the churchgoer alerted the football when the mariner nominated the survivor.,The 959 teacher + memorized 296 the = concept x57 because 827 the + churchgoer 885 alerted = the x58 football 304 when + the 771 mariner = nominated x59 the 210 survivor.,Did the teacher memorize the concept?,Yes,first,three,Transitive,plausible
7696,The blacksmith flattened the metal because the emissary beated the bishop after the fugitive agitated the upholsterer.,The 405 blacksmith + flattened 604 the = metal x61 because 632 the + emissary 328 beated = the x62 bishop 585 after + the 376 fugitive = agitated x63 the 106 upholsterer.,Did the blacksmith flatten the metal?,Yes,first,three,Transitive,plausible
7697,The artist folded the paper after the citizen belittled the appraiser and the physicist pursued the understudy.,The 218 artist + folded 563 the = paper x65 after 808 the + citizen 325 belittled = the x66 appraiser 225 and + the 679 physicist = pursued x67 the 336 understudy.,Did the artist fold the paper?,Yes,first,three,Transitive,plausible
7698,The carpenter hammered the nail after the sommelier smacked the optimist but the excavator followed the newscaster.,The 764 carpenter + hammered 417 the = nail x69 after 604 the + sommelier 358 smacked = the x70 optimist 760 but + the 427 excavator = followed x71 the 426 newscaster.,Did the carpenter hammer the nail?,Yes,first,three,Transitive,plausible
7699,The hacker hacked the system after the crusader appeased the husband because the fanatic seduced the spaniard.,The 661 hacker + hacked 480 the = system x73 after 351 the + crusader 798 appeased = the x74 husband 334 because + the 709 fanatic = seduced x75 the 287 spaniard.,Did the hacker hack the system?,Yes,first,three,Transitive,plausible
7700,The boxer hit the wall after the parishioner antagonized the miller when the salesman nominated the thug.,The 820 boxer + hit 757 the = wall x77 after 231 the + parishioner 629 antagonized = the x78 miller 136 when + the 855 salesman = nominated x79 the 675 thug.,Did the boxer hit the wall?,Yes,first,three,Transitive,plausible
7701,The thug quoted the bricklayer and the player kicked the ball but the psychologist mentioned the stenographer.,The 985 thug + quoted 278 the = bricklayer x81 and 524 the + player 173 kicked = the x82 ball 773 but + the 794 psychologist = mentioned x83 the 462 stenographer.,Did the player kick the ball?,Yes,second,three,Transitive,plausible
7702,The equestrian aggravated the understudy and the burglar knocked the door when the trickster accosted the security.,The 773 equestrian + aggravated 354 the = understudy x85 and 239 the + burglar 208 knocked = the x86 door 715 when + the 289 trickster = accosted x87 the 913 security.,Did the burglar knock on the door?,Yes,second,three,Transitive,plausible
7703,The taxpayer scorned the crusader and the baker made the bread because the conman infuriated the anesthesiologist.,The 456 taxpayer + scorned 573 the = crusader x89 and 237 the + baker 364 made = the x90 bread 739 because + the 456 conman = infuriated x91 the 244 anesthesiologist.,Did the baker make the bread?,Yes,second,three,Transitive,plausible
7704,The chiseler delighted the victim and the blacksmith pounded the metal after the treasurer spooked the songwriter.,The 676 chiseler + delighted 107 the = victim x93 and 870 the + blacksmith 629 pounded = the x94 metal 404 after + the 818 treasurer = spooked x95 the 250 songwriter.,Did the blacksmith pound the metal?,Yes,second,three,Transitive,plausible
7705,The millionnaire rated the surfer but the factory produced the cars and the webmaster goaded the clown.,The 350 millionnaire + rated 827 the = surfer x97 but 633 the + factory 886 produced = the x98 cars 750 and + the 705 webmaster = goaded x99 the 776 clown.,Did the factory produce the cars?,Yes,second,three,Transitive,plausible
