EquationID,Equation,Result,ItemID,Context,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
x1,235718644616400611584518537129 + 442932620988459975017139196572 = x1,678651265604860586601657733701,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x2,986948586877552729941799293495 + 879690188672291193596442976194 = x2,1866638775549843923538242269689,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x3,847298617012319222627622153066 + 837907833735543244492690518244 = x3,1685206450747862467120312671310,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x5,741915841782330939141374978129 + 951412265324909213023873892802 = x5,1693328107107240152165248870931,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x6,854219862072137982096575904680 + 950386102196269819344893968046 = x6,1804605964268407801441469872726,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x7,654642518126861098789394643791 + 941501976208431816937949878985 = x7,1596144494335292915727344522776,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x9,542992789832039547341560238102 + 299764167237385493896251261227 = x9,842756957069425041237811499329,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x10,247484216697185713570898633923 + 861332891222647822721321625291 = x10,1108817107919833536292220259214,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x11,641863117249369981742958560861 + 169848374318824995215134906839 = x11,811711491568194976958093467700,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x13,613872554751787261707986644502 + 246536936502516691448332672054 = x13,860409491254303953156319316556,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x14,479955352763048829955815667668 + 924620142132115890036424580869 = x14,1404575494895164719992240248537,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x15,660085898387295776403790084409 + 494146937666576365833167829901 = x15,1154232836053872142236957914310,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x17,610581417960567334094250311129 + 519400432161731793148836166712 = x17,1129981850122299127243086477841,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x18,722064479357904069803331523060 + 520683585552389245279911085359 = x18,1242748064910293315083242608419,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x19,179541104559774560190151439021 + 709642518681779233123695126482 = x19,889183623241553793313846565503,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x21,412942040800489138939670406089 + 169065088823504789528687722829 = x21,582007129623993928468358128918,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
