ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 235718644616400611584518537129 mechanic + assembled 442932620988459975017139196572 the = engine x1 and 986948586877552729941799293495 the + envoy 879690188672291193596442976194 saluted = the x2 higher-ups 847298617012319222627622153066 but + the 837907833735543244492690518244 scoundrel = encountered x3 the 970736951896821595831466568542 clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 741915841782330939141374978129 tailor + bent 951412265324909213023873892802 the = wire x5 and 854219862072137982096575904680 the + entertainer 950386102196269819344893968046 quoted = the x6 residents 654642518126861098789394643791 when + the 941501976208431816937949878985 forester = insulted x7 the 772490473275240135388806540277 messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 542992789832039547341560238102 child + bit 299764167237385493896251261227 the = apple x9 and 247484216697185713570898633923 the + zealot 861332891222647822721321625291 humiliated = the x10 bassist 641863117249369981742958560861 because + the 169848374318824995215134906839 diva = misinformed x11 the 452012384443127438810283930048 newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 613872554751787261707986644502 chef + blended 246536936502516691448332672054 the = ingredients x13 and 479955352763048829955815667668 the + officer 924620142132115890036424580869 aggravated = the x14 foreman 660085898387295776403790084409 after + the 494146937666576365833167829901 screenwriter = fascinated x15 the 278213013329844828716185057396 encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 610581417960567334094250311129 sculptor + carved 519400432161731793148836166712 the = statue x17 but 722064479357904069803331523060 the + umpire 520683585552389245279911085359 chastised = the x18 salesman 179541104559774560190151439021 and + the 709642518681779233123695126482 flora = exposed x19 the 825454660955049283806736183672 athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 412942040800489138939670406089 chef + chopped 169065088823504789528687722829 the = vegetables x21 but 522470964053146171810202554445 the + commuter 489739112776206049074508307141 choked = the x22 delinquent 378385682914361848416888099480 when + the 735733610126722078470490395902 innovator = delighted x23 the 514737409383381085072929647294 residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 597277341209108775450467946594 cleaner + cleaned 562963943914601420623899890245 the = floor x25 but 594145062101549735915316337483 the + organist 314323569936135037595064220820 spooked = the x26 columnist 773178582285950931073161341096 because + the 761294203684965172059595380855 impostor = defended x27 the 715041776862689264869069472709 kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 495244897521219262866131420131 collector + collected 595059072365159055406808853360 the = stamps x29 but 738162032407015128581736334180 the + churchgoer 616085679246634847864029197592 betraied = the x30 skater 262130125817619290601029382721 after + the 382398628291718038992020006465 baroness = dismissed x31 the 631332126895105954924331629622 neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 745111614865389221592708871271 butcher + cut 264564327856863347428991913729 the = meat x33 when 678913529522965801739903369784 the + shepherd 901723521565561887627818494159 teased = the x34 patrolman 861121778060244095236871564501 and + the 849132710574736428435210707401 illustrator = affronted x35 the 713378514535014556247574518794 roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 688321427991238361701278372800 writer + described 808148910357609583815442717564 the = landscape x37 when 471959799716356100559455181111 the + toolmaker 476763904627418677137877840731 singed = the x38 webmaster 611556042097258795941947945258 but + the 517007022639106971855969424585 dean = screamed x39 the 974979214677649931118360551194 chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
