ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 2963653724 mechanic + assembled 6734285791 the = engine x1 and 2536048914 the + envoy 6985319491 saluted = the x2 higher-ups 8820375811 but + the 1041296915 scoundrel = encountered x3 the 1783365793 clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 9279414732 tailor + bent 9476247304 the = wire x5 and 9636013108 the + entertainer 2962861710 quoted = the x6 residents 8011439852 when + the 2703432003 forester = insulted x7 the 1429161941 messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 2059908543 child + bit 4626642040 the = apple x9 and 1038034620 the + zealot 9197480484 humiliated = the x10 bassist 3566020371 because + the 1328691119 diva = misinformed x11 the 7177991261 newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 6866012032 chef + blended 9554160761 the = ingredients x13 and 2104463304 the + officer 7104971867 aggravated = the x14 foreman 1001611741 after + the 9959851639 screenwriter = fascinated x15 the 4028850419 encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 4930399542 sculptor + carved 1163255797 the = statue x17 but 5838700428 the + umpire 3513945787 chastised = the x18 salesman 6119345582 and + the 8639447766 flora = exposed x19 the 3433235810 athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 6464841983 chef + chopped 7214915828 the = vegetables x21 but 2404439390 the + commuter 3852871082 choked = the x22 delinquent 6381006121 when + the 4462273147 innovator = delighted x23 the 4272699485 residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 7473004487 cleaner + cleaned 9079827396 the = floor x25 but 6763713491 the + organist 8705511121 spooked = the x26 columnist 1733417079 because + the 5882596056 impostor = defended x27 the 1450060006 kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 3660395245 collector + collected 5561507477 the = stamps x29 but 6571486206 the + churchgoer 6608691661 betraied = the x30 skater 1151724734 after + the 4991635049 baroness = dismissed x31 the 4515950906 neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 6365915651 butcher + cut 9230808942 the = meat x33 when 8985062049 the + shepherd 9813096530 teased = the x34 patrolman 4687773518 and + the 4219820072 illustrator = affronted x35 the 9163026758 roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 5931560407 writer + described 2218912619 the = landscape x37 when 1963001145 the + toolmaker 5532983473 singed = the x38 webmaster 9834771715 but + the 7826354338 dean = screamed x39 the 3498758675 chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,The 5306343474 crew + destroyed 8560192725 the = building x41 when 5473592352 the + monk 5591139810 applauded = the x42 executive 8185457558 because + the 4244010868 consultant = derided x43 the 8775738644 waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,The 6605192809 architect + designed 8522628604 the = house x45 when 4217068205 the + bassist 8382776969 scared = the x46 taxpayer 8059782661 after + the 3335298924 shopper = assuaged x47 the 9878208363 bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
