EquationID,Equation,Result,ItemID,Context,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
x1,21874 + 87255 + 48238 = x1,157367,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x2,32684 + 91193 + 23973 = x2,147850,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x4,68514 + 79222 + 30721 = x4,178457,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x5,93971 + 96814 + 51246 = x5,242031,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x7,40041 + 92113 + 71124 = x7,203278,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x8,45718 + 54336 + 82302 = x8,182356,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x10,75983 + 19738 + 55487 = x10,151208,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x11,32960 + 34632 + 89736 = x11,157328,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x13,28128 + 91376 + 27984 = x13,147488,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x14,46900 + 22555 + 20335 = x14,89790,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x16,92989 + 18573 + 94550 = x16,206112,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
x17,79215 + 36324 + 47706 = x17,163245,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
x19,17467 + 84857 + 95077 = x19,197401,7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
x20,62720 + 66473 + 12292 = x20,141485,7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
x22,26138 + 26615 + 58813 = x22,111566,7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
x23,83003 + 13955 + 23419 = x23,120377,7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
