ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 3225202360 mechanic + assembled 2397872748 the + engine 5780691239 and = the x1 envoy 9018897571 saluted + the 6004104122 higher-ups + but 8586911366 the = scoundrel x2 encountered 1429709605 the + clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 2244121541 tailor + bent 4531218040 the + wire 6479134473 and = the x4 entertainer 2531440348 quoted + the 2164096774 residents + when 7693086914 the = forester x5 insulted 5032177475 the + messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 4320049345 child + bit 8014038469 the + apple 4041824431 and = the x7 zealot 5611439241 humiliated + the 6671138571 bassist + because 6078063428 the = diva x8 misinformed 9846546115 the + newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 3511133214 chef + blended 7427042273 the + ingredients 4847595661 and = the x10 officer 6768020271 aggravated + the 1836095105 foreman + after 6772426646 the = screenwriter x11 fascinated 4469358371 the + encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 9774952785 sculptor + carved 4934123402 the + statue 4812370698 but = the x13 umpire 9217551446 chastised + the 1482945559 salesman + and 9566239679 the = flora x14 exposed 6794652096 the + athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 3262906026 chef + chopped 3128800762 the + vegetables 9129486385 but = the x16 commuter 3096729702 choked + the 1756699665 delinquent + when 2240405285 the = innovator x17 delighted 4201975309 the + residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 7646433027 cleaner + cleaned 5902241971 the + floor 9260690311 but = the x19 organist 5621914767 spooked + the 1148616935 columnist + because 9529791599 the = impostor x20 defended 1220471903 the + kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 7732112596 collector + collected 3127123830 the + stamps 4130306120 but = the x22 churchgoer 8787687983 betraied + the 4875019533 skater + after 4497974044 the = baroness x23 dismissed 6188767508 the + neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 1901323772 butcher + cut 9356388294 the + meat 1141328514 when = the x25 shepherd 4928844570 teased + the 5488613871 patrolman + and 1672187203 the = illustrator x26 affronted 8252785356 the + roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 9620505946 writer + described 6025023674 the + landscape 7436908073 when = the x28 toolmaker 8420220749 singed + the 4989724235 webmaster + but 9607524388 the = dean x29 screamed 2933642235 the + chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
