ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 21874 mechanic + assembled 87255 the + engine 48238 and = the x1 envoy 32684 saluted + the 91193 higher-ups + but 23973 the = scoundrel x2 encountered 21288 the + clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 68514 tailor + bent 79222 the + wire 30721 and = the x4 entertainer 93971 quoted + the 96814 residents + when 51246 the = forester x5 insulted 98160 the + messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 40041 child + bit 92113 the + apple 71124 and = the x7 zealot 45718 humiliated + the 54336 bassist + because 82302 the = diva x8 misinformed 79963 the + newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 75983 chef + blended 19738 the + ingredients 55487 and = the x10 officer 32960 aggravated + the 34632 foreman + after 89736 the = screenwriter x11 fascinated 30372 the + encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 28128 sculptor + carved 91376 the + statue 27984 but = the x13 umpire 46900 chastised + the 22555 salesman + and 20335 the = flora x14 exposed 42243 the + athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 92989 chef + chopped 18573 the + vegetables 94550 but = the x16 commuter 79215 choked + the 36324 delinquent + when 47706 the = innovator x17 delighted 92342 the + residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 17467 cleaner + cleaned 84857 the + floor 95077 but = the x19 organist 62720 spooked + the 66473 columnist + because 12292 the = impostor x20 defended 17260 the + kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 26138 collector + collected 26615 the + stamps 58813 but = the x22 churchgoer 83003 betraied + the 13955 skater + after 23419 the = baroness x23 dismissed 23329 the + neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 72579 butcher + cut 32859 the + meat 85927 when = the x25 shepherd 37589 teased + the 99133 patrolman + and 56463 the = illustrator x26 affronted 53251 the + roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 81628 writer + described 24408 the + landscape 78438 when = the x28 toolmaker 26510 singed + the 40429 webmaster + but 28070 the = dean x29 screamed 36720 the + chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,The 76169 crew + destroyed 33213 the + building 33323 when = the x31 monk 86334 applauded + the 56774 executive + because 10451 the = consultant x32 derided 41270 the + waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,The 56789 architect + designed 14931 the + house 35753 when = the x34 bassist 26495 scared + the 48461 taxpayer + after 53805 the = shopper x35 assuaged 96297 the + bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
7693,The student pushed the cart because the yodeler targeted the flutist and the neighbor distressed the arbitrator.,The 43936 student + pushed 36602 the + cart 25510 because = the x37 yodeler 60635 targeted + the 46191 flutist + and 65204 the = neighbor x38 distressed 61168 the + arbitrator.,Did the student push the cart?,Yes,first,three,Transitive,plausible
7694,The artist drew the portrait because the warlord disparaged the webmaster but the entomologist targeted the usher.,The 10165 artist + drew 75507 the + portrait 69980 because = the x40 warlord 37362 disparaged + the 38627 webmaster + but 16291 the = entomologist x41 targeted 52542 the + usher.,Did the artist draw the portrait?,Yes,first,three,Transitive,plausible
7695,The teacher memorized the concept because the churchgoer alerted the football when the mariner nominated the survivor.,The 50570 teacher + memorized 81087 the + concept 86826 because = the x43 churchgoer 61159 alerted + the 21426 football + when 29524 the = mariner x44 nominated 87482 the + survivor.,Did the teacher memorize the concept?,Yes,first,three,Transitive,plausible
7696,The blacksmith flattened the metal because the emissary beated the bishop after the fugitive agitated the upholsterer.,The 40336 blacksmith + flattened 55033 the + metal 59029 because = the x46 emissary 21986 beated + the 20340 bishop + after 96322 the = fugitive x47 agitated 47180 the + upholsterer.,Did the blacksmith flatten the metal?,Yes,first,three,Transitive,plausible
7697,The artist folded the paper after the citizen belittled the appraiser and the physicist pursued the understudy.,The 93382 artist + folded 35695 the + paper 81684 after = the x49 citizen 97736 belittled + the 40324 appraiser + and 11768 the = physicist x50 pursued 35210 the + understudy.,Did the artist fold the paper?,Yes,first,three,Transitive,plausible
7698,The carpenter hammered the nail after the sommelier smacked the optimist but the excavator followed the newscaster.,The 99839 carpenter + hammered 94277 the + nail 63485 after = the x52 sommelier 43684 smacked + the 29424 optimist + but 51666 the = excavator x53 followed 95632 the + newscaster.,Did the carpenter hammer the nail?,Yes,first,three,Transitive,plausible
7699,The hacker hacked the system after the crusader appeased the husband because the fanatic seduced the spaniard.,The 10893 hacker + hacked 17859 the + system 40666 after = the x55 crusader 88652 appeased + the 93596 husband + because 86507 the = fanatic x56 seduced 21006 the + spaniard.,Did the hacker hack the system?,Yes,first,three,Transitive,plausible
