EquationID,Equation,Result,ItemID,Context,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
x1,142652485477940589088823782219 + 200599670724375574500618330583 + 624139052123400006918266298717 = x1,967391208325716170507708411519,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x2,648959268452683721021459778157 + 438790806102984651203887884607 + 190842564309933551899774146797 = x2,1278592638865601924125121809561,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x4,265206067267225452141995749087 + 469568919515014594870940452262 + 710798864714568746983908368901 = x4,1445573851496808793996844570250,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x5,594185578872505931528840018687 + 530401860972204179059962467163 + 122242571963615155780266142018 = x5,1246830011808325266369068627868,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x7,766497538183361831378797466070 + 278881169420725434048269602661 + 399206342119542849877659053233 = x7,1444585049723630115304726121964,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x8,695124609456967091426945900821 + 981132502412679758388714285210 + 246221062312777714762852642367 = x8,1922478174182424564578512828398,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x10,871418095742105438567388326527 + 504278276496592332362201841866 + 432816811353773472375657980513 = x10,1808513183592471243305248148906,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x11,991350288004519901867903629236 + 964107633787564423873388765885 + 531639450640838856405411430193 = x11,2487097372432923182146703825314,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x13,976832429545467945240229669312 + 537024590015546472731206011743 + 493819378752848717742292524579 = x13,2007676398313863135713728205634,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x14,571678316732825960158203186909 + 336446733804507624106047844145 + 302341378301486210506588600234 = x14,1210466428838819794770839631288,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x16,990538870070292946045472201804 + 524972030777563261138007393534 + 264890910422457149926974129479 = x16,1780401811270313357110453724817,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
x17,232101578123204933229086967198 + 283045932076283862623586031539 + 352604150336482705561871660334 = x17,867751660535971501414544659071,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
x19,817366831574796951427671272887 + 100818982189729111546823169971 + 999848711569623066753974263884 = x19,1918034525334149129728468706742,7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
x20,231714047349892734179506727096 + 271383959099036097898096905507 + 524238033581559264748700881405 = x20,1027336040030488096826304514008,7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
x22,765460818217602276290247597738 + 671463691940924467252241895725 + 522474975685352296221051472394 = x22,1959399485843879039763540965857,7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
x23,600335029188489906766448412372 + 909050332726926339955890950562 + 663537610669553337590192620649 = x23,2172922972584969584312531983583,7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
x25,379099652695861156266686534290 + 718266346959608010605201652218 + 431615179883506523890856266765 = x25,1528981179538975690762744453273,7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
x26,215578369407143615079518715897 + 629029680271909911184597624029 + 843054079999807965865014441936 = x26,1687662129678861492129130781862,7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
x28,702933487008124543405231885173 + 161992749057228677326624778554 + 315597114503479270765482372279 = x28,1180523350568832491497339036006,7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
