ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 3 mechanic + assembled 2 the + engine 8 and = the x1 envoy 5 saluted + the 2 higher-ups + but 8 the = scoundrel x2 encountered 3 the + clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 3 tailor + bent 7 the + wire 9 and = the x4 entertainer 3 quoted + the 6 residents + when 4 the = forester x5 insulted 5 the + messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 7 child + bit 4 the + apple 8 and = the x7 zealot 1 humiliated + the 2 bassist + because 8 the = diva x8 misinformed 5 the + newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 7 chef + blended 7 the + ingredients 9 and = the x10 officer 9 aggravated + the 2 foreman + after 8 the = screenwriter x11 fascinated 1 the + encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 3 sculptor + carved 8 the + statue 6 but = the x13 umpire 9 chastised + the 7 salesman + and 2 the = flora x14 exposed 7 the + athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 3 chef + chopped 3 the + vegetables 6 but = the x16 commuter 3 choked + the 5 delinquent + when 7 the = innovator x17 delighted 3 the + residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 6 cleaner + cleaned 2 the + floor 2 but = the x19 organist 9 spooked + the 5 columnist + because 6 the = impostor x20 defended 8 the + kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 6 collector + collected 4 the + stamps 3 but = the x22 churchgoer 3 betraied + the 5 skater + after 2 the = baroness x23 dismissed 9 the + neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 9 butcher + cut 8 the + meat 8 when = the x25 shepherd 8 teased + the 5 patrolman + and 8 the = illustrator x26 affronted 9 the + roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 9 writer + described 4 the + landscape 8 when = the x28 toolmaker 9 singed + the 9 webmaster + but 9 the = dean x29 screamed 4 the + chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,The 7 crew + destroyed 3 the + building 1 when = the x31 monk 8 applauded + the 2 executive + because 4 the = consultant x32 derided 5 the + waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,The 2 architect + designed 3 the + house 9 when = the x34 bassist 5 scared + the 3 taxpayer + after 9 the = shopper x35 assuaged 7 the + bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
7693,The student pushed the cart because the yodeler targeted the flutist and the neighbor distressed the arbitrator.,The 5 student + pushed 3 the + cart 2 because = the x37 yodeler 5 targeted + the 5 flutist + and 6 the = neighbor x38 distressed 5 the + arbitrator.,Did the student push the cart?,Yes,first,three,Transitive,plausible
7694,The artist drew the portrait because the warlord disparaged the webmaster but the entomologist targeted the usher.,The 2 artist + drew 9 the + portrait 3 because = the x40 warlord 6 disparaged + the 6 webmaster + but 4 the = entomologist x41 targeted 2 the + usher.,Did the artist draw the portrait?,Yes,first,three,Transitive,plausible
7695,The teacher memorized the concept because the churchgoer alerted the football when the mariner nominated the survivor.,The 9 teacher + memorized 9 the + concept 7 because = the x43 churchgoer 9 alerted + the 2 football + when 7 the = mariner x44 nominated 9 the + survivor.,Did the teacher memorize the concept?,Yes,first,three,Transitive,plausible
7696,The blacksmith flattened the metal because the emissary beated the bishop after the fugitive agitated the upholsterer.,The 2 blacksmith + flattened 8 the + metal 2 because = the x46 emissary 6 beated + the 6 bishop + after 9 the = fugitive x47 agitated 9 the + upholsterer.,Did the blacksmith flatten the metal?,Yes,first,three,Transitive,plausible
7697,The artist folded the paper after the citizen belittled the appraiser and the physicist pursued the understudy.,The 9 artist + folded 3 the + paper 5 after = the x49 citizen 5 belittled + the 7 appraiser + and 2 the = physicist x50 pursued 4 the + understudy.,Did the artist fold the paper?,Yes,first,three,Transitive,plausible
7698,The carpenter hammered the nail after the sommelier smacked the optimist but the excavator followed the newscaster.,The 5 carpenter + hammered 2 the + nail 7 after = the x52 sommelier 4 smacked + the 4 optimist + but 8 the = excavator x53 followed 9 the + newscaster.,Did the carpenter hammer the nail?,Yes,first,three,Transitive,plausible
7699,The hacker hacked the system after the crusader appeased the husband because the fanatic seduced the spaniard.,The 4 hacker + hacked 1 the + system 9 after = the x55 crusader 5 appeased + the 3 husband + because 7 the = fanatic x56 seduced 3 the + spaniard.,Did the hacker hack the system?,Yes,first,three,Transitive,plausible
7700,The boxer hit the wall after the parishioner antagonized the miller when the salesman nominated the thug.,The 9 boxer + hit 3 the + wall 9 after = the x58 parishioner 6 antagonized + the 1 miller + when 4 the = salesman x59 nominated 1 the + thug.,Did the boxer hit the wall?,Yes,first,three,Transitive,plausible
7701,The thug quoted the bricklayer and the player kicked the ball but the psychologist mentioned the stenographer.,The 8 thug + quoted 1 the + bricklayer 5 and = the x61 player 5 kicked + the 1 ball + but 6 the = psychologist x62 mentioned 4 the + stenographer.,Did the player kick the ball?,Yes,second,three,Transitive,plausible
7702,The equestrian aggravated the understudy and the burglar knocked the door when the trickster accosted the security.,The 9 equestrian + aggravated 2 the + understudy 4 and = the x64 burglar 2 knocked + the 9 door + when 7 the = trickster x65 accosted 6 the + security.,Did the burglar knock on the door?,Yes,second,three,Transitive,plausible
7703,The taxpayer scorned the crusader and the baker made the bread because the conman infuriated the anesthesiologist.,The 4 taxpayer + scorned 8 the + crusader 1 and = the x67 baker 4 made + the 4 bread + because 1 the = conman x68 infuriated 9 the + anesthesiologist.,Did the baker make the bread?,Yes,second,three,Transitive,plausible
7704,The chiseler delighted the victim and the blacksmith pounded the metal after the treasurer spooked the songwriter.,The 4 chiseler + delighted 6 the + victim 8 and = the x70 blacksmith 4 pounded + the 2 metal + after 1 the = treasurer x71 spooked 6 the + songwriter.,Did the blacksmith pound the metal?,Yes,second,three,Transitive,plausible
7705,The millionnaire rated the surfer but the factory produced the cars and the webmaster goaded the clown.,The 6 millionnaire + rated 2 the + surfer 6 but = the x73 factory 3 produced + the 6 cars + and 5 the = webmaster x74 goaded 9 the + clown.,Did the factory produce the cars?,Yes,second,three,Transitive,plausible
7706,The countess distracted the executive but the man protected the environment when the steelworker neglected the pole.,The 8 countess + distracted 3 the + executive 7 but = the x76 man 5 protected + the 5 environment + when 4 the = steelworker x77 neglected 4 the + pole.,Did the man protect the environment?,Yes,second,three,Transitive,plausible
7707,The regular humiliated the geophysicist but the boxer punched the sandbag because the neighbor beated the admiral.,The 5 regular + humiliated 3 the + geophysicist 8 but = the x79 boxer 9 punched + the 6 sandbag + because 3 the = neighbor x80 beated 2 the + admiral.,Did the boxer punch the sandbag?,Yes,second,three,Transitive,plausible
7708,The embalmer photographed the german but the boy read the magazine after the cheerleader lashed the brewer.,The 7 embalmer + photographed 9 the + german 7 but = the x82 boy 1 read + the 7 magazine + after 8 the = cheerleader x83 lashed 1 the + brewer.,Did the boy read the magazine?,Yes,second,three,Transitive,plausible
7709,The veteran derided the swindler when the carpenter sawed the wood and the understudy defended the hitter.,The 8 veteran + derided 4 the + swindler 3 when = the x85 carpenter 1 sawed + the 1 wood + and 3 the = understudy x86 defended 6 the + hitter.,Did the carpenter saw the wood?,Yes,second,three,Transitive,plausible
7710,The drug honored the hotelier when the firefighter saved the life but the goalie disparaged the clown.,The 6 drug + honored 7 the + hotelier 1 when = the x88 firefighter 2 saved + the 9 life + but 6 the = goalie x89 disparaged 7 the + clown.,Did the firefighter save the life?,Yes,second,three,Transitive,plausible
7711,The perpetrator placated the concierge when the vandal shattered the window because the climber ridiculed the parachutist.,The 9 perpetrator + placated 8 the + concierge 5 when = the x91 vandal 6 shattered + the 2 window + because 4 the = climber x92 ridiculed 6 the + parachutist.,Did the vandal shatter the window?,Yes,second,three,Transitive,plausible
7712,The dealer photographed the canadian when the pirate slashed the sail after the husband astounded the security.,The 9 dealer + photographed 9 the + canadian 9 when = the x94 pirate 9 slashed + the 3 sail + after 4 the = husband x95 astounded 8 the + security.,Did the pirate slash the sail?,Yes,second,three,Transitive,plausible
7713,The know-it-all pated the senior because the chef sliced the bread and the locksmith invited the missionary.,The 5 know-it-all + pated 7 the + senior 9 because = the x97 chef 4 sliced + the 5 bread + and 8 the = locksmith x98 invited 7 the + missionary.,Did the chef slice the bread?,Yes,second,three,Transitive,plausible
7714,The psychiatrist fancied the delivery because the child smashed the toy but the veteran assuaged the cobbler.,The 4 psychiatrist + fancied 2 the + delivery 5 because = the x100 child 3 smashed + the 4 toy + but 7 the = veteran x101 assuaged 1 the + cobbler.,Did the child smash the toy?,Yes,second,three,Transitive,plausible
7715,The pensioner enraged the miller because the player squashed the ball when the intermediary deceived the donor.,The 8 pensioner + enraged 6 the + miller 3 because = the x103 player 7 squashed + the 8 ball + when 7 the = intermediary x104 deceived 7 the + donor.,Did the player squash the ball?,Yes,second,three,Transitive,plausible
7716,The botanist shamed the trendsetter because the boxer suggested the idea after the inventor befuddled the planner.,The 1 botanist + shamed 5 the + trendsetter 8 because = the x106 boxer 4 suggested + the 7 idea + after 4 the = inventor x107 befuddled 6 the + planner.,Did the boxer suggest the idea?,Yes,second,three,Transitive,plausible
7717,The zoologist targeted the warrior after the student skipped the class and the fighter mocked the hairstylist.,The 4 zoologist + targeted 6 the + warrior 5 after = the x109 student 3 skipped + the 4 class + and 7 the = fighter x110 mocked 6 the + hairstylist.,Did the student skip the class?,Yes,second,three,Transitive,plausible
7718,The hitter backed the novelist after the artist touched the canvas but the suspect delighted the wife.,The 3 hitter + backed 4 the + novelist 2 after = the x112 artist 5 touched + the 4 canvas + but 6 the = suspect x113 delighted 1 the + wife.,Did the artist touch the canvas?,Yes,second,three,Transitive,plausible
7719,The meteorologist dazzled the hypochondriac after the chef used the knife because the sommelier sickened the finn.,The 9 meteorologist + dazzled 3 the + hypochondriac 8 after = the x115 chef 5 used + the 8 knife + because 9 the = sommelier x116 sickened 7 the + finn.,Did the chef use the knife?,Yes,second,three,Transitive,plausible
7720,The playwright enticed the champion after the person wasted the water when the pharmacist intrigued the forester.,The 1 playwright + enticed 5 the + champion 3 after = the x118 person 1 wasted + the 8 water + when 1 the = pharmacist x119 intrigued 1 the + forester.,Did the person waste the water?,Yes,second,three,Transitive,plausible
7721,The heiress consulted the survivor and the pediatrician followed the mapmaker but the carpenter assembled the bookshelf.,The 2 heiress + consulted 3 the + survivor 9 and = the x121 pediatrician 2 followed + the 8 mapmaker + but 9 the = carpenter x122 assembled 5 the + bookshelf.,Did the carpenter assemble the bookshelf?,Yes,third,three,Transitive,plausible
7722,The zoologist recognized the embalmer and the deputy relieved the dog when the instructor bent the mat.,The 6 zoologist + recognized 1 the + embalmer 3 and = the x124 deputy 2 relieved + the 8 dog + when 2 the = instructor x125 bent 4 the + mat.,Did the instructor bend the mat?,Yes,third,three,Transitive,plausible
7723,The telemarketer framed the linguist and the victim entertained the carrier because the child bit the chocolate.,The 9 telemarketer + framed 3 the + linguist 3 and = the x127 victim 4 entertained + the 3 carrier + because 7 the = child x128 bit 5 the + chocolate.,Did the child bite the chocolate?,Yes,third,three,Transitive,plausible
7724,The hypnotist honored the excavator and the dramatist avoided the usurper after the bartender blended the cocktail.,The 4 hypnotist + honored 4 the + excavator 7 and = the x130 dramatist 5 avoided + the 1 usurper + after 1 the = bartender x131 blended 8 the + cocktail.,Did the bartender blend the cocktail?,Yes,third,three,Transitive,plausible
7725,The chief followed the lyricist but the upholsterer antagonized the churchgoer and the girl carved the statue.,The 3 chief + followed 9 the + lyricist 9 but = the x133 upholsterer 3 antagonized + the 9 churchgoer + and 9 the = girl x134 carved 9 the + statue.,Did the girl carve the statue?,Yes,third,three,Transitive,plausible
7726,The survivor befriended the henchman but the psychiatrist placated the grocer when the chef chopped the onions.,The 8 survivor + befriended 9 the + henchman 4 but = the x136 psychiatrist 1 placated + the 7 grocer + when 5 the = chef x137 chopped 8 the + onions.,Did the chef chop the onions?,Yes,third,three,Transitive,plausible
