EquationID,Equation,Result,ItemID,Context,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
x1,7 + 1 = x1,8,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x2,2 + 4 = x2,6,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x3,8 + 5 = x3,13,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
x5,3 + 5 = x5,8,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x6,3 + 7 = x6,10,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x7,9 + 3 = x7,12,7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
x9,3 + 9 = x9,12,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x10,3 + 8 = x10,11,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x11,8 + 4 = x11,12,7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
x13,5 + 8 = x13,13,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x14,6 + 8 = x14,14,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x15,1 + 2 = x15,3,7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
x17,1 + 8 = x17,9,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x18,9 + 9 = x18,18,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x19,3 + 8 = x19,11,7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
x21,8 + 3 = x21,11,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
x22,2 + 3 = x22,5,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
x23,9 + 7 = x23,16,7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
x25,1 + 4 = x25,5,7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
x26,8 + 7 = x26,15,7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
x27,6 + 4 = x27,10,7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
x29,2 + 7 = x29,9,7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
x30,4 + 7 = x30,11,7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
x31,6 + 5 = x31,11,7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
x33,7 + 3 = x33,10,7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
x34,5 + 1 = x34,6,7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
x35,2 + 1 = x35,3,7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
x37,2 + 7 = x37,9,7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
x38,5 + 2 = x38,7,7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
x39,5 + 6 = x39,11,7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
x41,7 + 2 = x41,9,7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
x42,2 + 8 = x42,10,7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
x43,1 + 8 = x43,9,7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
