ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 35295 mechanic + assembled 12251 the = engine x1 and 36489 the + envoy 43712 saluted = the x2 higher-ups 10328 but + the 35323 scoundrel = encountered x3 the 44926 clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 92309 tailor + bent 76666 the = wire x5 and 91928 the + entertainer 14130 quoted = the x6 residents 65959 when + the 52277 forester = insulted x7 the 28645 messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 92782 child + bit 30271 the = apple x9 and 92734 the + zealot 88077 humiliated = the x10 bassist 83072 because + the 86315 diva = misinformed x11 the 97254 newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 42746 chef + blended 61352 the = ingredients x13 and 62623 the + officer 75227 aggravated = the x14 foreman 13248 after + the 48771 screenwriter = fascinated x15 the 51867 encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 68030 sculptor + carved 64971 the = statue x17 but 90271 the + umpire 42857 chastised = the x18 salesman 71942 and + the 30108 flora = exposed x19 the 79921 athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 66176 chef + chopped 81040 the = vegetables x21 but 93324 the + commuter 18211 choked = the x22 delinquent 42411 when + the 40096 innovator = delighted x23 the 88052 residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 70092 cleaner + cleaned 99857 the = floor x25 but 49950 the + organist 46316 spooked = the x26 columnist 94089 because + the 46997 impostor = defended x27 the 73243 kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 76312 collector + collected 40889 the = stamps x29 but 39999 the + churchgoer 16682 betraied = the x30 skater 92749 after + the 45639 baroness = dismissed x31 the 81633 neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 48590 butcher + cut 20589 the = meat x33 when 77848 the + shepherd 30621 teased = the x34 patrolman 32845 and + the 29051 illustrator = affronted x35 the 26196 roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 12960 writer + described 55427 the = landscape x37 when 70542 the + toolmaker 83653 singed = the x38 webmaster 76544 but + the 44735 dean = screamed x39 the 69178 chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,The 79881 crew + destroyed 38390 the = building x41 when 51848 the + monk 76653 applauded = the x42 executive 15491 because + the 66585 consultant = derided x43 the 85324 waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
