ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 142652485477940589088823782219 mechanic + assembled 200599670724375574500618330583 the + engine 624139052123400006918266298717 and = the x1 envoy 648959268452683721021459778157 saluted + the 438790806102984651203887884607 higher-ups + but 190842564309933551899774146797 the = scoundrel x2 encountered 970513910511077198210809223718 the + clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 265206067267225452141995749087 tailor + bent 469568919515014594870940452262 the + wire 710798864714568746983908368901 and = the x4 entertainer 594185578872505931528840018687 quoted + the 530401860972204179059962467163 residents + when 122242571963615155780266142018 the = forester x5 insulted 952188062758523683108070036050 the + messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 766497538183361831378797466070 child + bit 278881169420725434048269602661 the + apple 399206342119542849877659053233 and = the x7 zealot 695124609456967091426945900821 humiliated + the 981132502412679758388714285210 bassist + because 246221062312777714762852642367 the = diva x8 misinformed 399280143214981905286023523883 the + newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 871418095742105438567388326527 chef + blended 504278276496592332362201841866 the + ingredients 432816811353773472375657980513 and = the x10 officer 991350288004519901867903629236 aggravated + the 964107633787564423873388765885 foreman + after 531639450640838856405411430193 the = screenwriter x11 fascinated 897286427299837323961231279614 the + encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 976832429545467945240229669312 sculptor + carved 537024590015546472731206011743 the + statue 493819378752848717742292524579 but = the x13 umpire 571678316732825960158203186909 chastised + the 336446733804507624106047844145 salesman + and 302341378301486210506588600234 the = flora x14 exposed 202966328652844028866397198708 the + athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 990538870070292946045472201804 chef + chopped 524972030777563261138007393534 the + vegetables 264890910422457149926974129479 but = the x16 commuter 232101578123204933229086967198 choked + the 283045932076283862623586031539 delinquent + when 352604150336482705561871660334 the = innovator x17 delighted 165062881713268717431534426000 the + residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 817366831574796951427671272887 cleaner + cleaned 100818982189729111546823169971 the + floor 999848711569623066753974263884 but = the x19 organist 231714047349892734179506727096 spooked + the 271383959099036097898096905507 columnist + because 524238033581559264748700881405 the = impostor x20 defended 384974356505793782274670181777 the + kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 765460818217602276290247597738 collector + collected 671463691940924467252241895725 the + stamps 522474975685352296221051472394 but = the x22 churchgoer 600335029188489906766448412372 betraied + the 909050332726926339955890950562 skater + after 663537610669553337590192620649 the = baroness x23 dismissed 974086436147903887701696279193 the + neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 379099652695861156266686534290 butcher + cut 718266346959608010605201652218 the + meat 431615179883506523890856266765 when = the x25 shepherd 215578369407143615079518715897 teased + the 629029680271909911184597624029 patrolman + and 843054079999807965865014441936 the = illustrator x26 affronted 712317204485341110290234518581 the + roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 702933487008124543405231885173 writer + described 161992749057228677326624778554 the + landscape 315597114503479270765482372279 when = the x28 toolmaker 956051505364078303398156971942 singed + the 904695822582301468559742694140 webmaster + but 902483302738808471381122167318 the = dean x29 screamed 413847651031403573632593494456 the + chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
